book_id,title,author,average_listing,isbn,num_pages,publication_date,publisher
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight//Sahara Kelly//Judy Mays//Marteeka Karland//Kate Douglas//Shelby Morgen//Lacey Savage//Kate Hill//Willa Okati,3.76,1595962808,304,01-11-2005,Changeling Press
58,Changeling (Changeling  #1),Delia Sherman,3.6,670059676,256,17-08-2006,Viking Juvenile
59,The Changeling Sea,Patricia A. McKillip,4.06,141312629,137,14-04-2003,Firebird
63,The Changeling,Kate Horsley,3.55,1590301943,339,12-04-2005,Shambhala
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,449146979,369,28-08-1990,Ivy Books
67,The Known World,Edward P. Jones,3.83,61159174,388,29-08-2006,Amistad
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745,334,15-05-2006,FT Press
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,352,14-12-2005,Archaia
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee//William Howarth,4.42,374517193,416,01-06-1982,Farrar  Straus and Giroux
76,Heirs of General Practice,John McPhee,4.17,374519749,128,01-04-1986,Farrar  Straus and Giroux
77,The Control of Nature,John McPhee,4.24,374522596,288,01-09-1990,Farrar  Straus and Giroux
78,Annals of the Former World,John McPhee,4.34,374518734,720,06-01-1999,Farrar  Straus and Giroux
79,Coming Into the Country,John McPhee,4.22,374522871,448,01-04-1991,Farrar  Straus and Giroux
80,La Place de la Concorde Suisse,John McPhee,3.92,374519323,160,01-04-1994,Farrar  Straus and Giroux
81,Giving Good Weight,John McPhee,4.23,374516006,288,01-04-1994,Farrar  Straus and Giroux
83,Rising from the Plains,John McPhee,4.23,374520658,208,01-11-1987,Farrar  Straus and Giroux
85,The Heidi Chronicles,Wendy Wasserstein,3.75,822205106,81,01-03-2002,Dramatists Play Service
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,679734996,249,02-07-1991,Vintage
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,138,29-03-2006,Routledge
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,128,14-03-2006,North Light Books
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker//Rolland Baker,4.46,800793617,192,01-09-2003,Chosen Books
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,871202867,108,28-01-1997,Association for Supervision & Curriculum Development
93,Heidi (Heidi  #1-2),Johanna Spyri//Beverly Cleary//Angelo  Rinaldi,3.99,753454947,352,15-11-2002,Kingfisher
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,871209993,192,15-11-2004,ASCD
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker//Heidi Baker,4.46,1852402873,192,28-04-2003,Sovereign World
98,What to Expect the First Year (What to Expect),Heidi Murkoff//Sharon Mazel//Arlene Eisenberg//Sandee Hathaway//Mark D. Widome,3.89,761129588,832,16-10-2003,Workman Publishing Company
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss//Libby Keatinge,3.82,972016414,123,10-05-2004,One Hour Entertainment
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,128,19-08-2004,North Light Books
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,441294677,423,15-06-1987,Ace Books
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,441102670,436,01-07-1987,Ace Books
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,441172695,331,15-07-1987,Ace Books
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,765306476,592,01-07-2004,Tor Books
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,399128980,480,16-04-1984,Putnam
